date,BTC,ETH,XRP,BNB,DOT,ADA,USDT,LINK,UNI,XLM,GRT,CRO,LTC,FTT,BCH,USDC,SOL,DOGE,LUNA,WBTC,AAVE,1INCH,PCI,ATOM,HT,OKB,ALGO,TRX,XEM,SNX,COMP,NEO,EOS,XMR,VET,BSV,BRG,CEL,MIOTA,SUSHI,THETA,CRV,NU,XTZ,CAKE,CELO,RUNE,DASH,EGLD,KSM,DFI,BUSD,UMA,DAI,MKR,OMI,NEXO,CTC,FTM,FIL,LEO,MATIC,XVS,DCR,ZIL,ALPHA,BAL,VGX,ICX,ZRX,RVN,ETC,ZEC,BTT,ORN,INJ,GNO,BAND,QNT,YFI,REN,SRM,STX,NEAR,WAVES,REV,IOST,ONT,ROSE,SKL,HEGIC,HBAR,CHSB,KCS,RENBTC,EWT,XDC,PAX,DGB,LRC
2019-07-07,17804933.5449724,106805911.34323,,,,31112484745.0,1200001017.0,999999999.999999,,,,100000000000.0,62586945.7334708,792714310.815629,17879264.646908,370301500.97,,120165956345.703,,539.58844257,,,,,492780730.413749,300000000.0,,,,123412147.542457,,,,,999976373.947899,17877289.646675,,700000000.0,,,1000000000.0,,,,,,,8914757.16771838,,,,,,176535771.591302,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,111977924.90573,6920310.91406848,,,,9999934.74597423,,,,,,56501532.265806,,,,21000000000.0,,,,,,1000000000.0,179653368.424002,,,,163085763.02,,1379954199.85447
2019-07-08,17807158.5449724,106819573.15573,,,,31112484745.0,1300001016.99999,999999999.999999,,,,100000000000.0,62600395.7334708,792714310.815629,17881064.646908,377302567.96,,120179806345.703,,539.58844257,,,,,492780730.413749,300000000.0,,,,123412437.720264,,,,,999976373.9479,17878727.146675,,700000000.0,,,1000000000.0,,,,,,,8916459.59927052,,,,,,176773367.922298,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,112002302.405731,6927423.41406848,,,,9999934.74597423,,,,,,56485760.6396544,,,,21000000000.0,,,,,,1000000000.0,179593665.424002,,,,153610822.25,,1379954199.85447
2019-07-09,17809083.5449724,106833245.78073,,,,31112484745.0,1400001016.99999,999999999.999999,,,,100000000000.0,62614745.7334708,792749574.01563,17882927.146908,376309497.89,,120193636345.703,,549.56844257,,,,,492780730.413749,300000000.0,,,,123412690.135251,,,,,999976373.9479,17880652.146675,,700000000.0,,,1000000000.0,,,,,,,8918152.71094195,,,,,,178330845.48103,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,112026651.90573,6934510.91406848,,,,9999934.74597423,,,,,,56526958.7084605,,,,21000000000.0,,,,,,1000000000.0,179593665.424002,,,,142356146.65,,1379954542.85447
2019-07-10,17810696.0449724,106846860.90573,,,,31112484745.0001,1400001016.99999,999999999.999999,,,,100000000000.0,62629645.7334708,792773242.990629,17884752.146908,378530392.87,,120207426345.703,,558.73108057,,,,,492654860.512273,300000000.0,,,,123412784.525631,,,,,999976373.9479,17882564.646675,,700000000.0,,,1000000000.0,,,,,,,8919864.46237483,,,,,,178937967.245512,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,112050826.155733,6941885.91406848,,,,9999934.74597423,,,,,,56529610.370944,,,,21000000000.0,,,,,,1000000000.0,179218299.424002,,,,145354585.09,,1379957342.85447
2019-07-11,17812308.5449724,106860543.03073,,,,31112484745.0,1400001017.0,999999999.999999,,,,100000000000.0,62645245.7334708,792773242.990629,17886502.146908,378460059.18,,120221266345.703,,558.73108057,,,,,492654860.512273,300000000.0,,,,124855071.992942,,,,,999976373.9479,17884352.146675,,700000000.0,,,1000000000.0,,,,,,,8921576.21380777,,,,,,180168515.171121,1000000.0,,646145841.0064,,2067177894.58993,,,9999999999.99999,,,12599999804.24,,,,,999999996.864828,,112075451.405732,6948973.41406848,,,,9999934.74597423,,,,,,56587838.4371398,,,,21000000000.0,,,,,,1000000000.0,179218299.424002,,,,150655729.18,,1379957342.85447
2019-07-12,17814358.5449724,106874040.65573,,,,31112484745.0,1400001017.0,999999999.999999,,,,100000000000.0,62660245.7334708,792773242.990629,17888127.146908,382211740.16,,120235136345.703,,558.73108057,,,,,492654860.512273,300000000.0,,,,124855160.480866,,,,,999976373.9479,17886164.646675,,700000000.0,,,1000000000.0,,,,,,,8923253.79234457,,,,,,179836427.030649,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,112099894.90573,6956135.91406848,,,,9999934.74597423,,,,,,56590411.0202178,,,,21000000000.0,,,,,,1000000000.0,179218299.424002,,,,158907235.41,,1379957342.85447
2019-07-13,17816121.0449724,106887692.09323,,,,31112484745.0,1400001017.0,1000000000.0,,,,100000000000.0,62676845.7334708,792773242.990629,17889914.646908,382701623.06,,120248956345.703,,558.73108057,,,,,492654860.512273,300000000.0,,,,124855217.115094,,,,,999976373.9479,17887952.146675,,700000000.0,,,1000000000.0,,,,,,,8924977.97028517,,,,,,179766559.169177,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,112124242.155731,6963273.41406847,,,,9999934.74597423,,,,,,56589828.5312905,,,,21000000000.0,,,,,,1000000000.0,179218299.424002,,,,164803324.83,,1379957342.85447
2019-07-14,17817933.5449724,106901471.78073,,,,31112484745.0,1400001017.0,999999999.999999,,,,100000000000.0,62692245.7334708,792773242.990629,17891627.146908,382656859.63,,120262886345.703,,558.73108057,,,,,492654860.512273,300000000.0,,,,124855217.115094,,,,,999976373.947899,17889664.646675,,700000000.0,,,1000000000.0,,,,,,,8926667.97532964,,,,,,181158092.18634,1000000.0,,646145841.0064,,2067177894.58993,,,9999999999.99999,,,12599999804.24,,,,,999999996.864828,,112148813.905732,6970348.41406848,,,,9999934.74597423,,,,,,56657788.9975998,,,,21000000000.0,,,,,,1000000000.0,179218299.424002,,,,164803324.83,,1379957342.85447
2019-07-15,17819758.5449724,106914975.53073,,,,31112484745.0,1400001017.0,999999999.999999,,,,100000000000.0,62706620.7334708,792773242.990629,17893552.146908,383381451.74,,120276736345.703,,558.73108057,,,,,478643160.512273,300000000.0,,,,124855292.030989,,,,,999976373.947899,17891252.146675,,700000000.0,,,1000000000.0,,,,,,,8928370.40688181,,,,,,181936644.992069,1000000.0,,646145841.0064,,2067177894.58993,,,9999999999.99999,,,12599999804.24,,,,,999999996.864829,,112173461.655731,6977498.41406848,,,,9999934.74597423,,,,,,56699141.2315828,,,,21000000000.0,,,,,,1000000000.0,179156003.724828,,,,172288199.51,,1379957342.85447
2019-07-16,17821783.5449724,106928521.15573,,,,31112484745.0,1400001017.0,999999999.999999,,,,100000000000.0,62719720.7334708,792773242.990629,17895364.646908,403386701.23,,120290606345.703,,558.73108057,,,,,478643160.512273,300000000.0,,,,124855348.665217,,,,,999976373.947899,17893039.646675,,700000000.0,,,1000000000.0,,,,,,,8930085.26494165,,,,,,182832266.154523,1000000.0,,646145841.0064,,2067177894.58993,,,10000000000.0,,,12599999804.24,,,,,999999996.864828,,112197816.655734,6984648.41406848,,,,9999934.74597423,,,,,,56709685.2231655,,,,21000000000.0,,,,,,1000000000.0,179156003.724828,,,,171810942.97,,1379957342.85447
