date,BTC,ETH,XRP,BNB,DOT,ADA,USDT,LINK,UNI,XLM,GRT,CRO,LTC,FTT,BCH,USDC,SOL,DOGE,LUNA,WBTC,AAVE,1INCH,PCI,ATOM,HT,OKB,ALGO,TRX,XEM,SNX,COMP,NEO,EOS,XMR,VET,BSV,BRG,CEL,MIOTA,SUSHI,THETA,CRV,NU,XTZ,CAKE,CELO,RUNE,DASH,EGLD,KSM,DFI,BUSD,UMA,DAI,MKR,OMI,NEXO,CTC,FTM,FIL,LEO,MATIC,XVS,DCR,ZIL,ALPHA,BAL,VGX,ICX,ZRX,RVN,ETC,ZEC,BTT,ORN,INJ,GNO,BAND,QNT,YFI,REN,SRM,STX,NEAR,WAVES,REV,IOST,ONT,ROSE,SKL,HEGIC,HBAR,CHSB,KCS,RENBTC,EWT,XDC,PAX,DGB,LRC
2018-12-22,70539008197.47061,12237334534.468784,,,,1306102109.5951042,61441041.408,317200000.0,,,,,1914721574.6724055,,3479468524.7500925,232410882.65,,285026895.4010212,,,,,,,618000000.0,,,,,5438341.209533612,,,,,4714999.9834974995,1931735516.7529962,,27831999.999999996,,,56060000.0,,,,,,,750645599.1229428,,,,,,126526932.96142316,424990000.0,,50005226.6354853,,10631631.180403154,,,,,,232596000.0,,,,,335500000.0000034,,506652713.5903056,354357684.12109965,,,,106899302.43446451,,,,,,682564.4965756931,,,,117432000.0,,,,,,6931000.0,113036031.77105936,,,,158619896.374,,61840541.342539094
2018-12-23,69891999346.84415,13667088139.47852,,,,1383261071.7627044,61021034.289,314600000.0,,,,,2008359915.51662,,3517684383.3874464,232182131.78124997,,286117715.8581325,,,,,,,612500000.0,,,,,5222790.125473766,,,,,4799999.9832,1889514677.3080425,,31311000.0,,,55910000.0,,,,,,,774254084.885342,,,,,,127392762.22591886,446800000.0,,54075945.43382561,,11523931.457418915,,,,,,253008000.0,,,,,344100000.00000346,,532705945.681493,360448442.5315001,,,,104199320.05305147,,,,,,674327.4248372563,,,,106176000.0,,,,,,6652000.0,120998091.69820014,,,,158151530.53825,,63262004.35487596
2018-12-24,71195876048.90662,14649185012.83206,,,,1409084434.1010544,60961033.272,308400000.0,,,,,1989120412.9245708,,3223371426.7976704,231318838.62395996,,295313738.3330974,,,,,,,592500000.0,,,,,5782446.530778067,,,,,4949999.982674995,1803106866.7034674,,32662000.0,,,54420000.0,,,,,,,779026875.0640343,,,,,,129111874.51675577,480850000.0,,55374698.57424848,,11793558.085365247,,,,,,261576000.0,,,,,364200000.0000037,,554271722.4901447,377647247.93445265,,,,118499226.73979461,,,,,,914558.0638323266,,,,144732000.0,,,,,,6824000.0,122060900.60250172,,,,157038627.2132,,65516006.66737661
2018-12-25,66891576929.793144,13624255053.034073,,,,1287434618.748104,61381040.390999995,325100000.0,,,,,1865900238.2562869,,3025797033.05891,231775539.19379997,,283247839.46948993,,3.3744e-05,,,,,559500000.0,,,,,5710269.188668241,,,,,4522999.9841695,1649558851.6715775,,28196000.000000004,,,48790000.0,,,,,,,716670589.5360624,,,,,,130652980.66825984,455950000.0,,50722448.5190024,,11024898.748236477,,,,,,230580000.0,,,,,328300000.0000033,,512575757.9044038,341078738.87594384,,,,104899315.48526967,,,,,,644884.206495548,,,,107877000.0,,,,,,5782000.0,113630484.20905858,,,,157505078.58115998,,58160287.93383042
2018-12-26,67144213036.22503,13701676856.289324,,,,1272811750.9179542,61021034.289,308800000.0,,,,,1842436122.9628954,,3086415076.444325,233411674.68,,283515981.17218137,,,,,,,554500000.0,,,,,5583706.046966011,,,,,4532999.9841345,1659881202.9661527,,27762000.0,,,48510000.0,,,,,,,717167300.7445377,,,,,,131235248.11927097,457240000.0,,58107895.48170555,,11398800.867653767,,,,,,240785999.99999997,,,,,343700000.00000346,,596360132.6058755,341638202.5947752,,,,104099320.70559174,,,,,,646823.9674205035,,,,105777000.0,,,,,,6564000.0,114423087.45972417,,,,154648028.2768,,58712478.579695925
2018-12-27,63616097953.244255,12144490369.236805,,,,1139028066.5144534,61201037.34,274300000.0,,,,,1686271671.3912055,,2603114660.482189,241832916.36368,,276146352.9124021,,,,,,,535500000.0,,,,,4755104.22351834,,,,,3979999.9860699964,1494710597.9310784,,24780000.0,,,43930000.0,,,,,,,649054615.999001,,,,,,131128544.27887937,431700000.0,,52486426.66494987,,9974695.584136125,,,,,,218988000.0,,,,,309900000.0000031,,520324493.1803002,314422126.7463485,,,,100399344.84958117,,,,,,604151.6530551155,,,,105189000.00000001,,,,,,5801000.0,109379248.59185219,,,,151630705.88406,,51769549.51861185
2018-12-28,68889549207.11105,14541288485.970463,,,,1291168116.917504,61621044.45899999,298200000.0,,,,,1956306574.3991578,,3102154159.790679,246056522.3662,,283347751.3094899,,3.4744e-05,,,,,562500000.0,,,,,4587011.211458304,,,,,4520999.9841765,1650416520.1644938,,29491000.0,,,50600000.0,,,,,,,722767686.0215127,,,,,,131841112.91933954,479270000.0,,55794693.370902635,,11923157.624764867,,,,,,254898000.00000003,,,,,334500000.0000034,,576240481.0762862,350409003.6318018,,,,111999269.15491137,,,,,,663692.6082119866,,,,105588000.0,,,,,,6231000.0,118296035.16184014,,,,147308969.41878,,60105610.002527215
2018-12-29,66264662352.02898,14263973181.963737,,,,1268456003.053654,61681045.476,296200000.0,,,,,1858713626.396266,,2889555055.227017,251871106.48680001,,280912871.5662302,,3.3416e-05,,,,,551500000.0,,,,,4800593.271607294,,,,,4228999.985198501,1566764482.3574786,,27846000.000000004,,,50440000.0,,,,,,,679126736.5561765,,,,,,131185347.897988,469320000.0,,53817487.097423054,,11471672.748938492,,,,,,269514000.0,,,,,320200000.0000032,,559198910.6563637,333687917.07235587,,,,112799263.93458931,,,,,,851159.6790321354,,,,118314000.0,,,,,,6262000.0,110910413.9624562,,,,148180620.1254,,55868544.03908845
2018-12-30,68003557283.138145,14682976229.889158,,,,1345614965.221254,61501042.425,302600000.0,,,,,1923787746.7884142,3007474.68277772,3123474610.3240485,253689943.32737997,,279182713.8210446,,,,,,,554000000.0,,,,,4176664.465348966,,,,,4332999.9848345,1564803897.6499803,,28504000.0,,,50650000.0,,,,,,,701302220.3722311,,,,,,133129930.22181574,480520000.0,,55348852.74060822,,11263550.964668926,,,,,,272790000.0,,,,,318500000.0000032,,576502068.5437863,337294203.05904925,,,,111699271.11253214,,,,,,655039.9373196618,,,,123984000.00000001,,,,,,5568000.0,115449868.94354098,,,,147454244.53655,,56834650.28482367
2018-12-31,65413347644.35011,13863076112.62514,,,,1270011627.290904,60721029.204,290600000.0,,,,,1813561590.9314907,,2645933786.8418655,255481737.45498,,273925159.985488,,,,,,,538500000.0,,,,,3745551.1399930557,,,,,4064999.9857725,1490759628.2731655,,22799000.0,,,47150000.0,,,,,,,673695583.3822143,,,,,,133510382.55669062,449860000.0,,51297518.317498095,,10883936.830161301,,,,,,243180000.0,,,,,293700000.000003,,546567146.630181,316268370.9340106,,,,106999301.78192425,,,,,,725811.0682674437,,,,111236999.99999999,,,,,,6207000.0,111072537.3546378,,,,144176613.09364,,69007588.9810875
